id;date_created;registration_number;model;brand;is_primary;owner_id
1;2026-05-11T07:41:21;phooey until;aha hmph;and barring;true;1
2;2026-05-11T15:48:10;while whoever dilige;oblong upward;at slip offset;true;2
3;2026-05-10T21:07:51;toothpick;questionably;warmly recompense even;false;1
4;2026-05-10T23:26:38;brr meh;other behind;alert dicker march;true;1
5;2026-05-11T02:29:29;gray bench gasp;cuddly ocelot;even;false;1
6;2026-05-11T11:14:10;till yuck marten;absent anneal;doubtfully certainly;true;1
7;2026-05-11T01:57:17;broadcast scholarshi;irritably upon;amongst yak plus;true;1
8;2026-05-11T10:44:32;yippee;embody mobilise;mainstream nor;false;1
9;2026-05-11T17:43:39;deploy developing;as;now however throughout;false;1
10;2026-05-11T08:27:12;moment gee;range;incomparable what normal;true;1
